Month,max temp,temp,min temp,max dew,dew,min dew,max humidity,humidity,min humidity,max wind speed,wind speed,min wind speed,max pressure,pressure,min pressure,Unnamed: 16
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1.0,7.0,4.2,1.0,1.0,-0.7,-3.0,93.0,71.6,49.0,30.0,16.0,0.0,1012.5,1009.5,1005.6,
2.0,6.0,5.1,4.0,4.0,1.9,0.0,93.0,80.4,70.0,17.0,10.7,6.0,1005.6,1000.5,998.7,
3.0,6.0,,4.0,4.0,3.0,2.0,93.0,89.2,81.0,37.0,15.4,0.0,1001.6,998.4,991.8,
4.0,6.0,3.5,2.0,4.0,1.0,-1.0,93.0,83.9,75.0,37.0,20.7,7.0,1011.5,,990.8,
5.0,3.0,2.6,2.0,2.0,1.2,-1.0,100.0,90.8,81.0,31.0,23.5,15.0,1010.5,1003.2,999.7,
6.0,4.0,2.6,2.0,2.0,-0.2,-3.0,100.0,82.4,70.0,28.0,15.1,4.0,1001.6,998.2,996.7,
7.0,3.0,1.2,0.0,0.0,-1.9,-4.0,100.0,80.9,65.0,22.0,13.9,2.0,1009.5,1005.5,1001.6,
8.0,2.0,0.0,-3.0,-1.0,-2.9,-5.0,93.0,81.0,69.0,31.0,18.9,0.0,1008.6,1006.8,1005.6,
9.0,6.0,2.4,-3.0,-2.0,-4.2,-6.0,86.0,63.1,49.0,31.0,18.3,0.0,1005.6,,999.7,
10.0,14.0,10.5,6.0,4.0,0.2,-4.0,54.0,49.6,46.0,43.0,30.1,13.0,999.7,997.9,996.7,
11.0,14.0,9.7,5.0,8.0,6.0,3.0,100.0,79.5,48.0,30.0,17.2,0.0,1005.6,1002.4,999.7,
12.0,5.0,3.8,3.0,4.0,3.0,2.0,100.0,94.5,87.0,30.0,23.6,20.0,1005.6,1002.1,999.7,
13.0,4.0,2.9,2.0,3.0,0.2,-1.0,100.0,82.6,70.0,28.0,18.2,7.0,1000.6,,996.7,
14.0,8.0,5.7,3.0,4.0,2.1,0.0,93.0,78.3,66.0,26.0,11.0,0.0,996.7,991.9,989.8,
15.0,7.0,4.1,1.0,5.0,2.3,-1.0,93.0,88.1,76.0,37.0,19.0,0.0,997.7,,988.8,
16.0,5.0,3.1,1.0,-1.0,-3.6,-6.0,75.0,,49.0,37.0,17.3,7.0,1006.6,1003.3,998.7,
17.0,10.0,6.5,4.0,2.0,0.5,-2.0,81.0,66.4,50.0,22.0,11.7,0.0,1009.5,1008.3,1006.6,
18.0,12.0,7.7,3.0,2.0,0.6,0.0,87.0,62.5,44.0,20.0,8.8,0.0,1008.6,1007.5,1006.6,
19.0,14.0,9.2,6.0,7.0,3.9,1.0,100.0,71.2,54.0,19.0,8.9,0.0,1009.5,1008.3,1006.6,
20.0,14.0,9.2,5.0,6.0,4.2,3.0,100.0,73.8,48.0,17.0,6.8,0.0,1009.5,1007.1,1004.6,
21.0,12.0,8.1,5.0,7.0,4.1,3.0,93.0,76.7,62.0,33.0,14.7,0.0,1009.5,1006.0,1003.6,
22.0,10.0,6.6,5.0,4.0,3.4,3.0,93.0,80.7,66.0,24.0,15.5,7.0,1009.5,1006.4,1001.6,
