temp,pressure,humidity
4.2,1009.5,71.6
5.1,1000.5,80.4
4.599999999999999,998.4,89.2
3.5,1001.2833333333332,83.9
2.6,1003.2,90.8
2.6,998.2,82.4
1.2,1005.5,80.9
0.0,1006.8,81.0
2.4,1001.8166666666666,63.1
10.5,997.9,49.6
9.7,1002.4,79.5
3.8,1002.1,94.5
2.9,995.05,82.6
5.7,991.9,78.3
4.1,996.2416666666666,88.1
3.1,1003.3,79.53333333333332
6.5,1008.3,66.4
7.7,1007.5,62.5
9.2,1008.3,71.2
9.2,1007.1,73.8
8.1,1006.0,76.7
6.6,1006.4,80.7
6.1,997.6,72.4
6.016666666666667,995.1833333333332,57.6
6.044444444444444,994.3,53.56666666666666
5.726851851851852,990.1,61.5
6.1,996.2,78.25555555555556
8.2,998.3,82.6
13.4,996.6333333333332,53.3
13.9,994.3,50.6
11.8,994.4,65.3
8.9,1000.8333333333334,76.2
10.6,1007.6,62.1
13.0,1009.3944444444446,50.9
13.7,1008.7,50.7
11.149999999999999,1008.0,82.5
7.8,1005.0,91.1
6.1,1006.0,91.9
5.2,1009.1,88.1
5.2,1010.4,80.2
5.25,1004.0999999999999,71.3
5.299999999999999,1000.4,83.58333333333333
5.3,1009.5,92.5
5.2,1010.3999999999999,73.5
5.0,1010.0,81.1
5.3,1015.2,75.7
6.0,1014.1666666666667,68.4
6.0,1013.411111111111,80.5
6.3,1011.4,79.4
6.0,1008.6648148148149,89.1
6.5,1006.35987654321,88.6
6.2,1006.6,89.73333333333332
2.7,1011.5,92.5
0.8,1016.1166666666666,96.9
4.4,1016.0,91.2
5.5,1006.7,90.64999999999999
4.7,1002.9,87.4
5.3,999.3999999999999,73.6
10.6,997.6,58.5
9.133333333333333,998.9,72.6
5.5,1006.3,67.5
4.3,1004.5999999999998,66.7
8.8,1002.9,55.4
11.9,1006.3166666666665,58.96666666666666
11.2,1009.011111111111,59.6
15.3,1010.3,39.5
14.2,1009.5,60.2
13.8,1006.7,67.2
15.5,1000.6,52.5
11.2,997.6,78.2
6.5,1002.5,89.5
6.9,1001.0,86.98333333333332
7.0,997.6,78.7
8.3,1001.9,72.7
13.0,1005.3,59.9
16.4,1004.8,47.6
15.5,1005.2,61.15
9.4,1010.7,73.96666666666665
8.3,1017.1,78.8
7.3,1016.5,68.4
8.4,1014.1666666666665,58.6
6.4,1009.9,59.5
8.0,1003.5,64.7
10.0,999.7,62.4
9.516666666666666,1009.0,79.5
7.8,1014.0,65.3
6.1,1012.2,55.2
7.1,1008.5,56.5
8.1,1003.0,66.6
8.5,1002.1,76.6
8.5,1006.4,81.2
8.7,1007.3,70.0
9.1,1005.3,71.5
9.7,1003.5,73.9
9.7,1001.4833333333333,75.01666666666667
12.9,998.8,75.3
16.0,995.0,75.2
14.45,990.2,72.8
12.2,994.2,84.4
13.2,998.3,82.2
14.6,1001.8,71.7
14.4,1001.1,80.2
12.9,1001.8833333333334,86.0
9.9,1003.5,85.0
9.6,1005.3,64.9
9.8,1005.7,58.5
9.0,1009.2,83.9
8.9,1011.1999999999999,68.7
7.3,1012.0,73.1
9.3,1011.9,63.6
10.350000000000001,1011.4,59.5
11.8,1013.7,53.5
15.0,1013.9,52.4
17.0,1011.7,55.9
13.3,1008.6,73.8
14.6,1004.1499999999999,62.5
18.6,1000.7,55.5
20.6,1000.6,54.1
20.4,998.7,51.033333333333324
17.58333333333333,997.9333333333333,54.3
15.2,998.7,71.9
16.3,1001.4,61.00000000000001
19.1,1000.2,48.4
21.25,997.9,60.9
20.8,995.1,54.9
15.8,997.2,66.6
12.5,1003.7,62.34999999999998
14.2,1002.1,58.3
14.999999999999998,998.7,70.6
15.8,1003.1,76.6
17.5,1006.8,77.3
17.25,1005.5,78.93333333333334
17.6,1002.9,76.0
21.1,999.3,63.0
19.9,998.4,67.2
17.1,996.5,77.26666666666667
17.3,997.0,79.7
21.7,997.7333333333333,61.0
23.8,999.3,48.8
23.9,1001.4277777777775,48.9
22.7,1002.3,52.6
22.1,1000.1,57.0
17.9,996.8,67.65
18.9,1000.3499999999998,74.3
21.0,1004.8,66.7
21.7,1004.2,63.2
24.5,1000.1,68.8
24.73333333333333,1000.6,53.5
24.1,1004.7,56.0
